Date,Open,High,Low,Close,AdjClose,Volume
4/1/2000,3.271875,3.43125,2.040625,2.759375,2.76,3240250000
5/1/2000,2.8,3.11875,2.021875,2.415625,2.42,2613772000
6/1/2000,2.44375,2.90625,1.623438,1.815625,1.82,4062818000
7/1/2000,1.834375,2.196875,1.39375,1.50625,1.51,3970492000
8/1/2000,1.53125,2.198438,1.465625,2.075,2.08,2889294000
9/1/2000,2.10625,2.48125,1.775,1.921875,1.92,2674794000
10/1/2000,1.909375,1.921875,0.96875,1.83125,1.83,4934670000
11/1/2000,1.790625,2.04375,1.10625,1.234375,1.23,3186778000
12/1/2000,1.246875,1.38125,0.74375,0.778125,0.78,4042258000
1/1/2001,0.790625,1.11875,0.678125,0.865625,0.87,4209736000
2/1/2001,0.859375,0.859375,0.496875,0.509375,0.51,3347482000
3/1/2001,0.49375,0.7,0.478125,0.5115,0.51,3352718000
4/1/2001,0.5165,0.908,0.405,0.789,0.79,3795608000
5/1/2001,0.795,0.88,0.655,0.8345,0.83,2893734000
6/1/2001,0.861,0.896,0.56,0.7075,0.71,2733918000
7/1/2001,0.705,0.871,0.5535,0.6245,0.62,3441574000
8/1/2001,0.6365,0.643,0.4275,0.447,0.45,2013746000
9/1/2001,0.4475,0.4595,0.2835,0.2985,0.30,2536868000
10/1/2001,0.2955,0.4995,0.2755,0.349,0.35,3397656000
11/1/2001,0.354,0.62,0.33,0.566,0.57,6219306000
12/1/2001,0.551,0.64,0.4755,0.541,0.54,4249110000
1/1/2002,0.5465,0.7885,0.4515,0.7095,0.71,6454784000
2/1/2002,0.7035,0.7375,0.553,0.705,0.71,3279778000
3/1/2002,0.7065,0.848,0.6775,0.715,0.72,3296356000
4/1/2002,0.714,0.8525,0.626,0.8345,0.83,3179172000
5/1/2002,0.8275,1.02,0.7875,0.9115,0.91,3096810000
6/1/2002,0.9155,0.958,0.734,0.8125,0.81,2852356000
7/1/2002,0.8085,0.858,0.613,0.7225,0.72,3531844000
8/1/2002,0.7155,0.7995,0.639,0.747,0.75,2306832000
9/1/2002,0.7355,0.8965,0.712,0.7965,0.80,2920540000
10/1/2002,0.8115,1.013,0.8005,0.968,0.97,4070772000
11/1/2002,0.961,1.225,0.91,1.1675,1.17,4126726000
12/1/2002,1.2075,1.25,0.9215,0.9445,0.94,3112212000
1/1/2003,0.9595,1.164,0.9275,1.0925,1.09,3383944000
2/1/2003,1.097,1.125,0.9805,1.1005,1.10,2318838000
3/1/2003,1.1075,1.402,1.068,1.3015,1.30,3281872000
4/1/2003,1.2775,1.4595,1.2065,1.4345,1.43,4392886000
5/1/2003,1.434,1.8045,1.4075,1.7945,1.79,3816676000
6/1/2003,1.825,1.862,1.6415,1.816,1.82,3429416000
7/1/2003,1.8165,2.155,1.7,2.082,2.08,4584790000
8/1/2003,2.0705,2.3475,1.914,2.316,2.32,3014378000
9/1/2003,2.326,2.565,2.2365,2.4215,2.42,4056728000
10/1/2003,2.4185,3.0575,2.3755,2.7215,2.72,5764506000
11/1/2003,2.74,2.8745,2.3835,2.6985,2.70,3639580000
12/1/2003,2.72,2.747,2.35,2.631,2.63,3873504000
1/1/2004,2.638,2.891,2.43,2.52,2.52,4358694000
2/1/2004,2.5325,2.5325,2.1115,2.1505,2.15,3714954000
3/1/2004,2.151,2.253,1.9575,2.164,2.16,3095410000
4/1/2004,2.1725,2.455,2.165,2.18,2.18,3252732000
5/1/2004,2.174,2.434,2.0275,2.425,2.43,3003930000
6/1/2004,2.3935,2.735,2.385,2.72,2.72,3225024000
7/1/2004,2.69,2.702,1.869,1.946,1.95,4048740000
8/1/2004,1.9225,2.0415,1.7425,1.907,1.91,3600448000
9/1/2004,1.9115,2.214,1.868,2.043,2.04,3523538000
10/1/2004,2.0645,2.135,1.65,1.7065,1.71,4171368000
11/1/2004,1.711,2.075,1.7075,1.984,1.98,3369498000
12/1/2004,2,2.284,1.8995,2.2145,2.21,3520296000
1/1/2005,2.2475,2.272,2.013,2.161,2.16,3898704000
2/1/2005,2.15,2.177,1.66,1.759,1.76,4373102000
3/1/2005,1.753,1.8215,1.641,1.7135,1.71,2391332000
4/1/2005,1.7315,1.767,1.53,1.618,1.62,3249826000
5/1/2005,1.615,1.802,1.605,1.7755,1.78,2338956000
6/1/2005,1.7785,1.8495,1.6465,1.6545,1.65,2124672000
7/1/2005,1.662,2.2905,1.6395,2.2575,2.26,3652022000
8/1/2005,2.244,2.3485,2.0955,2.135,2.14,2295022000
9/1/2005,2.126,2.292,2.025,2.265,2.27,2094008000
10/1/2005,2.2665,2.35,1.936,1.993,1.99,2939602000
11/1/2005,1.9985,2.4715,1.9825,2.423,2.42,4329106000
12/1/2005,2.444,2.5,2.357,2.3575,2.36,2423356000
1/1/2006,2.3735,2.429,2.155,2.241,2.24,2468206000
2/1/2006,2.196,2.2345,1.8525,1.872,1.87,3310894000
3/1/2006,1.8725,1.8915,1.757,1.8265,1.83,2443562000
4/1/2006,1.8335,1.942,1.7505,1.7605,1.76,2135172000
5/1/2006,1.7595,1.825,1.576,1.7305,1.73,2937920000
6/1/2006,1.7315,1.942,1.621,1.934,1.93,2302348000
7/1/2006,1.926,1.931,1.298,1.3445,1.34,4573268000
8/1/2006,1.3275,1.5495,1.288,1.5415,1.54,3183736000
9/1/2006,1.5425,1.6405,1.484,1.606,1.61,2920374000
10/1/2006,1.599,1.9295,1.529,1.9045,1.90,4189700000
11/1/2006,1.9065,2.1625,1.8435,2.017,2.02,2936048000
12/1/2006,2.013,2.032,1.885,1.973,1.97,2420814000
1/1/2007,1.934,1.957,1.815,1.8835,1.88,2608706000
2/1/2007,1.8975,2.1,1.834,1.957,1.96,3159508000
3/1/2007,1.966,2.012,1.852,1.9895,1.99,2843062000
4/1/2007,1.9925,3.192,1.9775,3.0665,3.07,6925740000
5/1/2007,3.056,3.6655,2.985,3.457,3.46,6604848000
6/1/2007,3.445,3.736,3.3355,3.4205,3.42,4775774000
7/1/2007,3.4405,4.45,3.4005,3.927,3.93,5296556000
8/1/2007,3.905,4.04,3.5025,3.9955,4.00,3510280000
9/1/2007,3.995,4.713,3.9865,4.6575,4.66,2445464000
10/1/2007,4.671,5.0545,4.1635,4.4575,4.46,4639770000
11/1/2007,4.3875,4.5735,3.825,4.528,4.53,3603930000
12/1/2007,4.5015,4.797,4.193,4.632,4.63,2541244000
1/1/2008,4.7675,4.8715,3.442,3.885,3.89,5766708000
2/1/2008,3.951,3.97,3.1985,3.2235,3.22,4224356000
3/1/2008,3.1795,3.8465,3.06,3.565,3.57,3853712000
4/1/2008,3.6495,4.132,3.5325,3.9315,3.93,3956988000
5/1/2008,3.92,4.2375,3.578,4.081,4.08,3051464000
6/1/2008,4.0575,4.244,3.631,3.6665,3.67,3058114000
7/1/2008,3.612,4.119,3.1495,3.817,3.82,4316266000
8/1/2008,3.818,4.5875,3.7025,4.0405,4.04,2980888000
9/1/2008,4.158,4.3385,3.066,3.638,3.64,3849268000
10/1/2008,3.589,3.5995,2.1655,2.862,2.86,6641494000
11/1/2008,2.8175,2.9365,1.734,2.135,2.14,4561030000
12/1/2008,2.1,2.7425,1.941,2.564,2.56,4123886000
1/1/2009,2.5675,2.987,2.3815,2.941,2.94,4081446000
2/1/2009,2.9285,3.368,2.9065,3.2395,3.24,3735604000
3/1/2009,3.197,3.7805,2.991,3.672,3.67,4553446000
4/1/2009,3.651,4.334,3.5855,4.026,4.03,3700640000
5/1/2009,4.019,4.18,3.655,3.8995,3.90,2752068000
6/1/2009,3.9105,4.428,3.8125,4.183,4.18,3041708000
7/1/2009,4.221,4.72,3.7705,4.288,4.29,3509228000
8/1/2009,4.328,4.41,4.0125,4.0595,4.06,2252458000
9/1/2009,4.037,4.725,3.8755,4.668,4.67,2562436000
10/1/2009,4.625,6.284,4.4135,5.9405,5.94,5372328000
11/1/2009,5.933,6.804,5.8125,6.7955,6.80,3206102000
12/1/2009,6.847,7.2955,6.2825,6.726,6.73,4149422000
1/1/2010,6.8125,6.8305,5.906,6.2705,6.27,4617220000
2/1/2010,6.159,6.243,5.691,5.92,5.92,4202916000
3/1/2010,5.935,6.9095,5.8765,6.7885,6.79,3160852000
4/1/2010,6.79,7.5545,6.539,6.855,6.86,3460502000
5/1/2010,6.86,6.972,5.876,6.273,6.27,2818198000
6/1/2010,6.2485,6.4575,5.3005,5.463,5.46,2667570000
7/1/2010,5.445,6.244,5.29,5.8945,5.89,3506524000
8/1/2010,5.9575,6.5405,5.8785,6.2415,6.24,2268396000
9/1/2010,6.318,8.089,6.3085,7.853,7.85,2686420000
10/1/2010,7.854,8.5995,7.57,8.2615,8.26,2857670000
11/1/2010,8.2225,9.092,7.8385,8.77,8.77,2620228000
12/1/2010,8.958,9.2825,8.6545,9,9.00,1873234000
1/1/2011,9.0685,9.58,8.345,8.482,8.48,2272226000
2/1/2011,8.526,9.57,8.4755,8.6645,8.66,1915528000
3/1/2011,8.6765,9.0785,8.0295,9.0065,9.01,2379582000
4/1/2011,9.079,9.89,8.7685,9.7905,9.79,2334988000
5/1/2011,9.8285,10.3195,9.544,9.8345,9.83,2125490000
6/1/2011,9.803,10.3125,9.0795,10.2245,10.22,1911274000
7/1/2011,10.2775,11.36,10.1805,11.126,11.13,1856170000
8/1/2011,11.25,11.3725,8.855,10.7615,10.76,3103894000
9/1/2011,10.764,12.2,10.2235,10.8115,10.81,2872466000
10/1/2011,10.8505,12.3355,9.8255,10.6755,10.68,3184288000
11/1/2011,10.4055,11.1175,9.0755,9.6145,9.61,2731762000
12/1/2011,9.5925,9.983,8.3485,8.655,8.66,2511904000
1/1/2012,8.7945,9.825,8.675,9.722,9.72,2210738000
2/1/2012,8.6905,9.6785,8.6,8.9845,8.98,2931608000
3/1/2012,8.9945,10.4925,8.829,10.1255,10.13,2259502000
4/1/2012,9.901,11.692,9.1825,11.595,11.60,2210708000
5/1/2012,11.47,11.6485,10.3555,10.6455,10.65,1855486000
6/1/2012,10.422,11.4175,10.3185,11.4175,11.42,1314912000
7/1/2012,11.465,12.037,10.6305,11.665,11.67,1546804000
8/1/2012,11.707,12.5,11.433,12.4135,12.41,1203848000
9/1/2012,12.4135,13.2055,12.233,12.716,12.72,1271410000
10/1/2012,12.77,13.095,11.146,11.6445,11.64,1631370000
11/1/2012,11.7115,12.6325,10.909,12.6025,12.60,1344272000
12/1/2012,12.627,13.1555,12.1375,12.5435,12.54,1217424000
1/1/2013,12.804,14.236,12.663,13.275,13.28,1684528000
2/1/2013,13.4465,13.715,12.7555,13.2135,13.21,1373234000
3/1/2013,13.1635,13.87,12.6035,13.3245,13.32,1170114000
4/1/2013,13.349,13.79,12.428,12.6905,12.69,1538324000
5/1/2013,12.695,13.5955,12.2875,13.46,13.46,1181010000
6/1/2013,13.448,14.167,13.1475,13.8845,13.88,1171516000
7/1/2013,13.95,15.681,13.858,15.061,15.06,1350738000
8/1/2013,15.154,15.3105,13.9665,14.049,14.05,875478000
9/1/2013,14.2365,16.0285,14.2085,15.632,15.63,869376000
10/1/2013,15.711,18.42,14.825,18.2015,18.20,1545908000
11/1/2013,18.2815,19.705,17.094,19.681,19.68,1084154000
12/1/2013,19.950001,20.2815,18.975,19.939501,19.94,1113734000
1/1/2014,19.940001,20.403,17.888,17.9345,17.93,1620238000
2/1/2014,17.948999,18.293501,16.886499,18.105,18.11,1660180000
3/1/2014,17.937,19.1555,16.544001,16.818501,16.82,1505070000
4/1/2014,16.904499,17.415001,14.4,15.2065,15.21,2765574000
5/1/2014,15.2065,15.7435,14.219,15.6275,15.63,1571584000
6/1/2014,15.6295,17.035999,15.192,16.239,16.24,1531602000
7/1/2014,16.292999,18.2425,15.593,15.6495,15.65,1988520000
8/1/2014,15.6845,17.3335,15.2295,16.952,16.95,1240634000
9/1/2014,16.999001,17.469,15.882,16.122,16.12,1360656000
10/1/2014,16.101999,16.257999,14.2,15.273,15.27,2221174000
11/1/2014,15.312,17.063,14.6145,16.931999,16.93,1379674000
12/1/2014,16.906,17.032,14.6515,15.5175,15.52,1736428000
1/1/2015,15.629,17.975,14.2625,17.7265,17.73,2061142000
2/1/2015,17.502501,19.4685,17.5005,19.007999,19.01,1416924000
3/1/2015,19.0425,19.421,18.282499,18.605,18.61,1110056000
4/1/2015,18.605,22.6325,18.417,21.089001,21.09,1688096000
5/1/2015,21.191,21.950001,20.727501,21.4615,21.46,1039660000
6/1/2015,21.52,22.351999,20.957001,21.7045,21.70,1099750000
7/1/2015,21.967501,29.0285,21.2785,26.807501,26.81,2041400000
8/1/2015,26.872499,27.136999,22.549999,25.644501,25.64,1657264000
9/1/2015,24.957001,27.489,24.525,25.5945,25.59,1535378000
10/1/2015,25.549999,31.535999,25.299999,31.295,31.30,1942522000
11/1/2015,31.356501,34.1385,31.0205,33.240002,33.24,1746098000
12/1/2015,33.6875,34.821999,31.7635,33.794498,33.79,1803750000
1/1/2016,32.814499,32.886002,27.358999,29.35,29.35,2604018000
2/1/2016,28.907499,29.09,23.700001,27.625999,27.63,2482896000
3/1/2016,27.814501,30.162001,26.929001,29.681999,29.68,1880190000
4/1/2016,29.5245,33.499001,29.262501,32.9795,32.98,1569284000
5/1/2016,33.195999,36.211498,32.799999,36.1395,36.14,1812290000
6/1/2016,36.044998,36.575001,34.105999,35.780998,35.78,1490818000
7/1/2016,35.866001,38.299999,35.827,37.940498,37.94,1372710000
8/1/2016,37.9935,38.749001,37.517502,38.458,38.46,1000008000
9/1/2016,38.544998,41.997501,37.799999,41.865501,41.87,1346714000
10/1/2016,41.799999,42.3605,38.730499,39.491001,39.49,1541276000
11/1/2016,39.950001,40.042,35.505001,37.5285,37.53,2201718000
12/1/2016,37.620499,39.123001,36.834999,37.4935,37.49,1473204000
1/1/2017,37.896,42.192001,37.384998,41.174,41.17,1412280000
2/1/2017,41.460499,43.042999,40.150002,42.251999,42.25,1434966000
3/1/2017,42.6525,44.517502,41.674999,44.327,44.33,1214214000
4/1/2017,44.400002,47.4795,44.224499,46.2495,46.25,1470794000
5/1/2017,46.389999,50.060001,46.389999,49.730999,49.73,1524040000
6/1/2017,49.929501,50.849998,46.349998,48.400002,48.40,1922708000
7/1/2017,48.6395,54.165501,47.549999,49.389,49.39,1576248000
8/1/2017,49.8055,50.32,46.816502,49.029999,49.03,1547836000
9/1/2017,49.209999,50,46.587502,48.067501,48.07,1185836000
10/1/2017,48.200001,56.1395,47.518501,55.264,55.26,1666682000
11/1/2017,55.27,60.670502,54.343498,58.837502,58.84,1543300000
12/1/2017,58.602501,59.738998,56.237,58.473499,58.47,1155204000
1/1/2018,58.599998,73.628998,58.525501,72.544502,72.54,1927424000
2/1/2018,72.25,76.434998,63.296501,75.622498,75.62,2755680000
3/1/2018,75.68,80.876999,68.260002,72.366997,72.37,2608002000
4/1/2018,70.880997,81.904999,67.643997,78.306503,78.31,2598392000
5/1/2018,78.161003,81.75,77.301003,81.481003,81.48,1432310000
6/1/2018,81.851501,88.154999,81.754501,84.989998,84.99,1718826000
7/1/2018,84.135002,94.002502,83.903,88.872002,88.87,1950422000
8/1/2018,89.199997,101.278503,88.801003,100.635498,100.64,1931516000
9/1/2018,101.324997,102.525002,93.25,100.150002,100.15,1888910000
10/1/2018,101.099503,101.6595,73.818001,79.900497,79.90,3664416000
11/1/2018,81.176498,89.199997,71,84.508499,84.51,2785800000
12/1/2018,88.473,88.917,65.349998,75.098503,75.10,3096254000
1/1/2019,73.260002,86.820503,73.046501,85.936501,85.94,2680034000
2/1/2019,81.944,83.653,78.337997,81.991501,81.99,1618738000
3/1/2019,82.7565,91.1875,79.328499,89.037498,89.04,2016644000
4/1/2019,90.005501,97.817001,89.936501,96.325996,96.33,1624784000
5/1/2019,96.654503,98.220001,88.635002,88.753502,88.75,1964288000
6/1/2019,88.000504,96.760002,83.599998,94.681503,94.68,1494930000
7/1/2019,96.149002,101.790001,92.472,93.338997,93.34,1462976000
8/1/2019,93.585999,94.896004,87.175499,88.814499,88.81,1595424000
9/1/2019,88.5,92.682999,85.460999,86.795502,86.80,1223458000
10/1/2019,87.300003,89.942497,84.252998,88.833,88.83,1407210000
11/1/2019,89.400497,91.234497,86.135498,90.040001,90.04,1041524000
12/1/2019,90.220001,95.07,86.75,92.391998,92.39,1362992000
1/1/2020,93.75,102.786003,90.766998,100.435997,100.44,1693966000
2/1/2020,100.529999,109.297501,90.556503,94.1875,94.19,1850202000
3/1/2020,95.324501,99.816498,81.301498,97.486,97.49,3276182000
4/1/2020,96.648499,123.75,94.457497,123.699997,123.70,2492196000
5/1/2020,116.839996,126.272499,112.819,122.1185,122.12,1651688000
6/1/2020,122.400002,139.800003,121.856499,137.940994,137.94,1756366000
7/1/2020,137.899506,167.214493,137.699997,158.233994,158.23,2550040000
8/1/2020,159.025497,174.75,153.649994,172.548004,172.55,1670332000
9/1/2020,174.479004,177.612503,143.550003,157.436493,157.44,2317986000
10/1/2020,160.399994,174.811996,150.949997,151.807495,151.81,2324522000
11/1/2020,153.087006,168.339996,147.505997,158.401993,158.40,1816210000
12/1/2020,159.425003,167.532501,153.641006,162.846497,162.85,1551124000
1/1/2021,163.5,168.194504,154.300003,160.309998,160.31,1430578000
2/1/2021,162.117996,171.699997,151.835007,154.6465,154.65,1442140000
3/1/2021,156.394501,159.100006,144.050003,154.703995,154.70,1563760000
4/1/2021,155.897003,177.699997,155.777496,173.371002,173.37,1536792000
5/1/2021,174.236496,174.332504,156.3685,161.153503,161.15,1503678000
6/1/2021,162.175003,176.242996,158.610001,172.007996,172.01,1340220000
7/1/2021,171.730499,188.654007,165.348999,166.379501,166.38,1674586000
8/1/2021,167.654999,173.628998,158.787994,173.539505,173.54,1256964000
9/1/2021,174.820007,177.499496,163.699493,164.251999,164.25,1250554000
10/1/2021,164.4505,173.949997,158.8125,168.621506,168.62,1273466000
11/1/2021,168.089996,188.107498,164.177505,175.3535,175.35,1515990000
12/1/2021,177.25,177.994003,165.195007,166.716995,166.72,1287634000
1/1/2022,167.550003,171.399994,135.352005,149.573502,149.57,1524654000
2/1/2022,150,163.834503,138.332993,153.563004,153.56,1689604000
3/1/2022,152.732498,170.831497,133.572495,162.997498,163.00,1628486000
4/1/2022,164.149506,168.394501,121.625,124.281502,124.28,1465008000
5/1/2022,122.401001,126.220497,101.260002,120.209503,120.21,2258476000
6/1/2022,122.255997,128.990005,101.43,106.209999,106.21,1767601100
7/1/2022,106.290001,125.5,105.849998,122.419998,122.42,927217300
7/22/2022,125.010002,125.5,121.350403,122.419998,122.42,51463797
,,,,,,
,,,,,,
,,,,,,
,,,,,,
